"mh_id","mh_mag","mh_desc","mh_debut","mh_fin"
"3","8","Horaire permanent","0","0"
"5","9","horaire permanent","0","0"
"6","10","horaire permanent","0","0"
"7","11","horaire permanent","0","0"
"8","12","horaire permanent","0","0"
"9","13","horaire permanent","0","0"
"10","6","horaire permanent","0","0"
"11","14","horaire permanent","0","0"
"12","15","horaire permanent","0","0"
"13","7","horaire permanent","0","0"
"14","16","horaire permanent","0","0"
"15","18","horaire permanent","0","0"
"16","5","horaire permanent","0","0"
"17","30","horaire permanent","0","0"
"18","31","horaire permanent","0","0"
"19","32","horaire permanent","0","0"
"20","33","horaire permanent","0","0"
"21","34","horaire permanent","0","0"
"22","35","horaire permanent","0","0"
"23","36","horaire permanent","0","0"
"24","37","horaire permanent","0","0"
"25","38","horaire permanent","0","0"
"26","39","horaire permanent","0","0"
"27","40","horaire permanent","0","0"
"28","41","horaire permanent","0","0"
"29","42","horaire permanent","0","0"
"30","43","horaire permanent","0","0"
"31","44","horaire permanent","0","0"
"32","45","horaire permanent","0","0"
"33","46","horaire permanent","0","0"
"34","47","horaire permanent","0","0"
"35","48","horaire permanent","0","0"
"36","49","horaire permanent","0","0"
"37","50","horaire permanent","0","0"
"38","51","horaire permanent","0","0"
"39","52","horaire permanent","0","0"
"41","54","horaire permanent","0","0"
"42","55","horaire permanent","0","0"
"43","56","horaire permanent","0","0"
"44","57","horaire permanent","0","0"
"45","58","horaire permanent","0","0"
"46","59","horaire permanent","0","0"
"47","60","horaire permanent","0","0"
"48","61","horaire permanent","0","0"
"49","62","horaire permanent","0","0"
"50","64","horaire permanent","0","0"
"51","65","horaire permanent","0","0"
"52","66","horaire permanent","0","0"
"53","69","horaire permanent","0","0"
"54","70","horaire permanent","0","0"
"55","71","horaire permanent","0","0"
"56","72","horaire permanent","0","0"
"57","73","horaire permanent","0","0"
"58","74","horaire permanent","0","0"
"59","75","horaire permanent","0","0"
"60","76","horaire permanent","0","0"
"61","77","horaire permanent","0","0"
"62","79","horaire permanent","0","0"
"63","80","horaire permanent","0","0"
"64","81","horaire permanent","0","0"
"65","82","horaire permanent","0","0"
"66","83","horaire permanent","0","0"
"67","84","horaire permanent","0","0"
"68","85","horaire permanent","0","0"
"69","86","horaire permanent","0","0"
"70","87","horaire permanent","0","0"
"71","88","horaire permanent","0","0"
"72","89","horaire permanent","0","0"
"73","90","horaire permanent","0","0"
"74","91","horaire permanent","0","0"
"75","92","horaire permanent","0","0"
"76","93","horaire permanent","0","0"
"77","19","horaire permanent","0","0"
"78","98","horaire permanent","0","0"
"79","115","horaire permanent","0","0"
"80","116","horaire permanent","0","0"
"81","117","horaire permanent","0","0"
"82","118","horaire permanent","0","0"
"83","121","horaire permanent","0","0"
"84","124","horaire permanent","0","0"
"85","125","horaire permanent","0","0"
"86","126","horaire permanent","0","0"
"87","130","horaire permanent","0","0"
"88","158","horaire permanent","0","0"
"89","160","horaire permanent","0","0"
"90","163","horaire permanent","0","0"
"91","173","horaire permanent","0","0"
"92","191","horaire permanent","0","0"
"93","0","horaire permanent","0","0"
